,nox_emissions
1050,57.0
1051,48.0
1052,40.0
1053,76.0
1054,127.16438692403482
1055,127.16438692403482
1056,127.16438692403482
1057,127.16438692403482
1058,127.16438692403482
1059,127.16438692403482
1060,127.16438692403482
1061,127.16438692403482
1062,127.16438692403482
1063,127.16438692403482
1064,127.16438692403482
1065,127.16438692403482
1066,127.16438692403482
1067,127.16438692403482
1068,127.16438692403482
1069,127.16438692403482
1070,127.16438692403482
1071,127.16438692403482
1072,127.16438692403482
1073,127.16438692403482
1074,127.16438692403482
1075,127.16438692403482
1076,127.16438692403482
1077,127.16438692403482
1078,127.16438692403482
1079,127.16438692403482
1080,127.16438692403482
1081,127.16438692403482
1082,127.16438692403482
1083,127.16438692403482
1084,127.16438692403482
1085,127.16438692403482
1086,127.16438692403482
1087,127.16438692403482
1088,127.16438692403482
1089,127.16438692403482
1090,127.16438692403482
1091,127.16438692403482
1092,127.16438692403482
1093,127.16438692403482
1094,127.16438692403482
1095,127.16438692403482
1096,127.16438692403482
1097,127.16438692403482
1098,127.16438692403482
1099,127.16438692403482
1100,127.16438692403482
1101,127.16438692403482
1102,127.16438692403482
1103,127.16438692403482
1104,127.16438692403482
1105,127.16438692403482
1106,127.16438692403482
1107,127.16438692403482
1108,127.16438692403482
1109,127.16438692403482
1110,127.16438692403482
1111,406.0
1112,127.16438692403482
1113,127.16438692403482
1114,127.16438692403482
1115,127.16438692403482
1116,127.16438692403482
1117,127.16438692403482
1118,127.16438692403482
1119,127.16438692403482
1120,127.16438692403482
1121,406.0
1122,127.16438692403482
1123,127.16438692403482
1124,127.16438692403482
1125,127.16438692403482
1126,127.16438692403482
1127,127.16438692403482
1128,127.16438692403482
1129,127.16438692403482
1130,127.16438692403482
1131,127.16438692403482
1132,127.16438692403482
1133,127.16438692403482
1134,127.16438692403482
1135,127.16438692403482
1136,127.16438692403482
1137,127.16438692403482
1138,127.16438692403482
1139,127.16438692403482
1140,127.16438692403482
1141,127.16438692403482
1142,127.16438692403482
1143,366.0
1144,127.16438692403482
1145,127.16438692403482
1146,127.16438692403482
1147,127.16438692403482
1148,127.16438692403482
1149,379.0
1150,127.16438692403482
1151,127.16438692403482
1152,127.16438692403482
1153,127.16438692403482
1154,127.16438692403482
1155,24.0
1156,127.16438692403482
1157,127.16438692403482
1158,127.16438692403482
1159,127.16438692403482
1160,63.0
1161,127.16438692403482
1162,127.16438692403482
1163,127.16438692403482
1164,127.16438692403482
1165,127.16438692403482
1166,127.16438692403482
1167,127.16438692403482
1168,127.16438692403482
1169,127.16438692403482
1170,127.16438692403482
1171,127.16438692403482
1172,127.16438692403482
1173,127.16438692403482
1174,127.16438692403482
1175,127.16438692403482
1176,127.16438692403482
1177,127.16438692403482
1178,127.16438692403482
1179,127.16438692403482
1180,127.16438692403482
1181,127.16438692403482
1182,127.16438692403482
1183,127.16438692403482
1184,127.16438692403482
1185,79.0
1186,72.0
1187,127.16438692403482
1188,127.16438692403482
1189,127.16438692403482
1190,102.0
1191,127.16438692403482
1192,47.0
1193,127.16438692403482
1194,47.0
1195,127.16438692403482
1196,29.0
1197,127.16438692403482
1198,31.0
1199,127.16438692403482
1200,375.0
1201,97.0
1202,127.16438692403482
1203,33.0
1204,127.16438692403482
1205,35.0
1206,127.16438692403482
1207,28.0
1208,40.0
1209,127.16438692403482
1210,370.0
1211,69.0
1212,127.16438692403482
1213,48.0
1214,67.0
1215,127.16438692403482
1216,127.16438692403482
1217,410.0
1218,127.16438692403482
1219,44.0
1220,29.0
1221,127.16438692403482
1222,127.16438692403482
1223,95.0
1224,77.0
1225,127.16438692403482
1226,127.16438692403482
1227,10.0
1228,10.0
1229,10.0
1230,10.0
1231,10.0
1232,10.0
1233,127.16438692403482
1234,10.0
1235,10.0
1236,10.0
1237,10.0
1238,10.0
1239,10.0
1240,10.0
1241,20.0
1242,10.0
1243,10.0
1244,10.0
1245,10.0
1246,40.0
1247,10.0
1248,20.0
1249,10.0
1250,10.0
1251,10.0
1252,10.0
1253,40.0
1254,127.16438692403482
1255,17.0
1256,127.16438692403482
1257,127.16438692403482
1258,387.0
1259,127.16438692403482
1260,70.0
1261,127.16438692403482
1262,127.16438692403482
1263,127.16438692403482
1264,127.16438692403482
1265,127.16438692403482
1266,332.0
1267,127.16438692403482
1268,127.16438692403482
1269,424.0
1270,127.16438692403482
1271,413.0
1272,127.16438692403482
1273,127.16438692403482
1274,127.16438692403482
1275,409.0
1276,424.0
1277,127.16438692403482
1278,127.16438692403482
1279,127.16438692403482
1280,127.16438692403482
1281,127.16438692403482
1282,127.16438692403482
1283,127.16438692403482
1284,127.16438692403482
1285,127.16438692403482
1286,127.16438692403482
1287,127.16438692403482
1288,127.16438692403482
1289,127.16438692403482
1290,127.16438692403482
1291,127.16438692403482
1292,127.16438692403482
1293,420.0
1294,20.0
1295,127.16438692403482
1296,420.0
1297,362.0
1298,20.0
1299,362.0
1300,127.16438692403482
1301,127.16438692403482
1302,127.16438692403482
1303,127.16438692403482
1304,127.16438692403482
1305,127.16438692403482
1306,127.16438692403482
1307,29.0
1308,127.16438692403482
1309,127.16438692403482
1310,127.16438692403482
1311,127.16438692403482
1312,127.16438692403482
1313,29.0
1314,127.16438692403482
1315,127.16438692403482
1316,127.16438692403482
1317,29.0
1318,127.16438692403482
1319,127.16438692403482
1320,127.16438692403482
1321,127.16438692403482
1322,127.16438692403482
1323,127.16438692403482
1324,29.0
1325,127.16438692403482
1326,127.16438692403482
1327,127.16438692403482
