,thc_emissions_[mg/km]
1354,49.22662638179499
1355,49.22662638179499
1356,49.22662638179499
1357,49.22662638179499
1358,49.22662638179499
1359,49.22662638179499
1360,49.22662638179499
1361,49.22662638179499
1362,49.22662638179499
1363,49.22662638179499
1364,49.22662638179499
1365,49.22662638179499
1366,49.22662638179499
1367,49.22662638179499
1368,49.22662638179499
1369,49.22662638179499
1370,49.22662638179499
1371,34.0
1372,36.0
1373,49.22662638179499
1374,49.22662638179499
1375,49.22662638179499
1376,130.0
1377,130.0
1378,110.0
1379,110.0
1380,110.0
1381,130.0
1382,130.0
1383,130.0
1384,130.0
1385,49.22662638179499
1386,49.22662638179499
1387,49.22662638179499
1388,49.22662638179499
1389,49.22662638179499
1390,49.22662638179499
1391,49.22662638179499
1392,49.22662638179499
1393,60.0
1394,110.0
1395,80.0
1396,110.0
1397,80.0
1398,49.22662638179499
1399,80.0
1400,70.0
1401,70.0
1402,100.0
1403,70.0
1404,150.0
1405,150.0
1406,100.0
1407,120.0
1408,120.0
1409,140.0
1410,64.0
1411,55.0
1412,49.22662638179499
1413,49.22662638179499
1414,49.22662638179499
1415,49.22662638179499
1416,49.22662638179499
1417,49.22662638179499
1418,49.22662638179499
1419,49.22662638179499
1420,49.22662638179499
1421,49.22662638179499
1422,49.22662638179499
1423,49.22662638179499
1424,49.22662638179499
1425,49.22662638179499
1426,49.22662638179499
1427,49.22662638179499
1428,49.22662638179499
1429,49.22662638179499
1430,49.22662638179499
1431,49.22662638179499
1432,49.22662638179499
1433,49.22662638179499
1434,49.22662638179499
1435,49.22662638179499
1436,49.22662638179499
1437,49.22662638179499
1438,49.22662638179499
1439,49.22662638179499
1440,49.22662638179499
1441,49.22662638179499
1442,49.22662638179499
1443,49.22662638179499
1444,49.22662638179499
1445,49.22662638179499
1446,49.22662638179499
1447,49.22662638179499
1448,49.22662638179499
1449,49.22662638179499
1450,49.22662638179499
1451,49.22662638179499
1452,49.22662638179499
1453,49.22662638179499
1454,49.22662638179499
1455,49.22662638179499
1456,49.22662638179499
1457,49.22662638179499
1458,49.22662638179499
1459,49.22662638179499
1460,49.22662638179499
1461,49.22662638179499
1462,49.22662638179499
1463,49.22662638179499
1464,49.22662638179499
1465,49.22662638179499
1466,49.22662638179499
1467,49.22662638179499
1468,49.22662638179499
1469,49.22662638179499
1470,49.22662638179499
