,fuel_cost_12000_miles
735,1548.0944902824476
736,1548.0944902824476
737,1548.0944902824476
738,1548.0944902824476
739,1548.0944902824476
740,1548.0944902824476
741,1548.0944902824476
742,1548.0944902824476
743,1548.0944902824476
744,1548.0944902824476
745,1548.0944902824476
746,1548.0944902824476
747,1548.0944902824476
748,1548.0944902824476
749,1548.0944902824476
750,1548.0944902824476
751,1548.0944902824476
752,1548.0944902824476
753,1548.0944902824476
754,1548.0944902824476
755,1548.0944902824476
756,1548.0944902824476
757,1548.0944902824476
758,1548.0944902824476
759,1548.0944902824476
760,1548.0944902824476
761,1548.0944902824476
762,1548.0944902824476
763,1548.0944902824476
764,1548.0944902824476
765,1548.0944902824476
766,1548.0944902824476
767,1548.0944902824476
768,1548.0944902824476
769,1548.0944902824476
770,1548.0944902824476
771,1548.0944902824476
772,1548.0944902824476
773,1548.0944902824476
774,1548.0944902824476
775,1548.0944902824476
776,1548.0944902824476
777,1548.0944902824476
778,1548.0944902824476
779,1548.0944902824476
780,1548.0944902824476
781,1548.0944902824476
782,1548.0944902824476
783,1548.0944902824476
784,1548.0944902824476
785,1548.0944902824476
786,1548.0944902824476
787,1548.0944902824476
788,1548.0944902824476
789,1548.0944902824476
790,1548.0944902824476
791,1548.0944902824476
792,1548.0944902824476
793,1548.0944902824476
794,1548.0944902824476
795,1548.0944902824476
796,1548.0944902824476
797,1548.0944902824476
798,1548.0944902824476
799,1548.0944902824476
800,1548.0944902824476
801,1548.0944902824476
802,1548.0944902824476
803,1548.0944902824476
804,1548.0944902824476
805,1548.0944902824476
806,1548.0944902824476
807,1548.0944902824476
808,1548.0944902824476
809,1548.0944902824476
810,1548.0944902824476
811,1548.0944902824476
812,1548.0944902824476
813,1548.0944902824476
814,1548.0944902824476
815,1548.0944902824476
816,1548.0944902824476
817,1548.0944902824476
818,1548.0944902824476
819,1548.0944902824476
820,1548.0944902824476
821,1548.0944902824476
822,1548.0944902824476
823,1548.0944902824476
824,1548.0944902824476
825,1548.0944902824476
826,1548.0944902824476
827,1548.0944902824476
828,1548.0944902824476
829,1548.0944902824476
830,1548.0944902824476
831,1548.0944902824476
832,1548.0944902824476
833,1548.0944902824476
834,1548.0944902824476
835,1548.0944902824476
836,1548.0944902824476
837,1548.0944902824476
838,1548.0944902824476
839,1548.0944902824476
840,1548.0944902824476
841,1548.0944902824476
842,1548.0944902824476
843,1548.0944902824476
844,1548.0944902824476
845,1548.0944902824476
846,1548.0944902824476
847,1548.0944902824476
848,1548.0944902824476
849,1548.0944902824476
850,1548.0944902824476
851,1548.0944902824476
852,1548.0944902824476
853,1548.0944902824476
854,1548.0944902824476
855,1548.0944902824476
856,1548.0944902824476
857,1548.0944902824476
858,1548.0944902824476
859,1548.0944902824476
860,1548.0944902824476
861,1548.0944902824476
862,1548.0944902824476
863,1548.0944902824476
864,1548.0944902824476
865,1548.0944902824476
866,1548.0944902824476
867,1548.0944902824476
868,1548.0944902824476
869,1548.0944902824476
870,1548.0944902824476
871,1548.0944902824476
872,1548.0944902824476
873,1548.0944902824476
874,1548.0944902824476
875,1548.0944902824476
876,1548.0944902824476
877,1548.0944902824476
878,1548.0944902824476
879,1548.0944902824476
880,1548.0944902824476
881,1548.0944902824476
882,1548.0944902824476
883,1548.0944902824476
884,1548.0944902824476
885,1548.0944902824476
886,1548.0944902824476
887,1548.0944902824476
888,1548.0944902824476
889,1548.0944902824476
890,1548.0944902824476
891,1548.0944902824476
892,1548.0944902824476
893,1548.0944902824476
894,1548.0944902824476
895,1548.0944902824476
896,1548.0944902824476
897,1548.0944902824476
898,1548.0944902824476
899,1548.0944902824476
900,1548.0944902824476
901,1548.0944902824476
902,1548.0944902824476
903,1548.0944902824476
904,1548.0944902824476
905,1548.0944902824476
906,1548.0944902824476
907,1548.0944902824476
908,1548.0944902824476
909,1548.0944902824476
910,1548.0944902824476
911,1548.0944902824476
912,1548.0944902824476
913,1548.0944902824476
914,1548.0944902824476
915,1548.0944902824476
916,1548.0944902824476
917,1548.0944902824476
918,1548.0944902824476
919,1548.0944902824476
920,1548.0944902824476
921,1548.0944902824476
922,1548.0944902824476
923,1548.0944902824476
924,1548.0944902824476
925,1548.0944902824476
926,1548.0944902824476
927,1548.0944902824476
928,1548.0944902824476
929,1548.0944902824476
930,1548.0944902824476
931,1548.0944902824476
932,1548.0944902824476
933,1548.0944902824476
934,1548.0944902824476
935,1548.0944902824476
936,1548.0944902824476
937,1548.0944902824476
938,1548.0944902824476
939,1548.0944902824476
940,1548.0944902824476
941,1548.0944902824476
942,1548.0944902824476
943,1548.0944902824476
944,1548.0944902824476
945,1548.0944902824476
946,1548.0944902824476
947,1548.0944902824476
948,1548.0944902824476
949,1548.0944902824476
950,1548.0944902824476
951,1548.0944902824476
952,1548.0944902824476
953,1548.0944902824476
954,1548.0944902824476
955,1548.0944902824476
956,1548.0944902824476
957,1548.0944902824476
958,1548.0944902824476
959,1548.0944902824476
960,1548.0944902824476
961,1548.0944902824476
962,1548.0944902824476
963,1548.0944902824476
964,1548.0944902824476
965,1548.0944902824476
966,1548.0944902824476
967,1548.0944902824476
968,1548.0944902824476
969,1548.0944902824476
970,1548.0944902824476
971,1548.0944902824476
972,1548.0944902824476
973,1548.0944902824476
974,1548.0944902824476
975,1548.0944902824476
976,1548.0944902824476
977,1548.0944902824476
978,1548.0944902824476
979,1548.0944902824476
980,1548.0944902824476
981,1548.0944902824476
982,1548.0944902824476
983,1548.0944902824476
984,1548.0944902824476
985,1548.0944902824476
986,1548.0944902824476
987,1548.0944902824476
988,1548.0944902824476
989,1548.0944902824476
990,1548.0944902824476
991,1548.0944902824476
992,1548.0944902824476
993,1548.0944902824476
994,1548.0944902824476
995,1548.0944902824476
996,1548.0944902824476
997,1548.0944902824476
998,1548.0944902824476
999,1548.0944902824476
1000,1548.0944902824476
1001,1548.0944902824476
1002,1548.0944902824476
1003,1548.0944902824476
1004,1548.0944902824476
1005,1548.0944902824476
1006,1548.0944902824476
1007,1548.0944902824476
1008,1548.0944902824476
1009,1548.0944902824476
1010,1548.0944902824476
1011,1548.0944902824476
1012,1548.0944902824476
1013,1548.0944902824476
1014,1548.0944902824476
1015,1548.0944902824476
1016,1548.0944902824476
1017,1548.0944902824476
1018,1548.0944902824476
1019,1548.0944902824476
1020,1548.0944902824476
1021,1548.0944902824476
1022,1548.0944902824476
1023,1548.0944902824476
1024,1548.0944902824476
1025,1548.0944902824476
1026,1548.0944902824476
1027,1548.0944902824476
1028,1548.0944902824476
1029,1548.0944902824476
1030,1548.0944902824476
1031,1548.0944902824476
1032,1548.0944902824476
1033,1548.0944902824476
1034,1548.0944902824476
1035,1548.0944902824476
1036,1548.0944902824476
1037,1548.0944902824476
1038,1548.0944902824476
1039,1548.0944902824476
1040,1548.0944902824476
1041,1548.0944902824476
1042,1548.0944902824476
1043,1548.0944902824476
1044,1548.0944902824476
1045,1548.0944902824476
1046,1548.0944902824476
1047,1548.0944902824476
1048,1548.0944902824476
1049,1548.0944902824476
1050,1548.0944902824476
1051,1548.0944902824476
1052,1548.0944902824476
1053,1548.0944902824476
1054,1548.0944902824476
1055,1548.0944902824476
1056,1548.0944902824476
1057,1548.0944902824476
1058,1548.0944902824476
1059,1548.0944902824476
1060,1548.0944902824476
1061,1548.0944902824476
1062,1548.0944902824476
1063,1548.0944902824476
1064,1548.0944902824476
1065,1548.0944902824476
1066,1548.0944902824476
1067,1548.0944902824476
1068,1548.0944902824476
1069,1548.0944902824476
1070,1548.0944902824476
1071,1548.0944902824476
1072,1548.0944902824476
1073,1548.0944902824476
1074,1548.0944902824476
1075,1548.0944902824476
1076,1548.0944902824476
1077,1548.0944902824476
1078,1548.0944902824476
1079,1548.0944902824476
1080,1548.0944902824476
1081,1548.0944902824476
1082,1548.0944902824476
1083,1548.0944902824476
1084,1548.0944902824476
1085,1548.0944902824476
1086,1548.0944902824476
1087,1548.0944902824476
1088,1548.0944902824476
1089,1548.0944902824476
1090,1548.0944902824476
1091,1548.0944902824476
1092,1548.0944902824476
1093,1548.0944902824476
1094,1548.0944902824476
1095,1548.0944902824476
1096,1548.0944902824476
1097,1548.0944902824476
1098,1548.0944902824476
1099,1548.0944902824476
1100,1548.0944902824476
1101,1548.0944902824476
1102,1548.0944902824476
1103,1548.0944902824476
1104,1548.0944902824476
1105,1548.0944902824476
1106,1548.0944902824476
1107,1548.0944902824476
1108,1548.0944902824476
1109,1548.0944902824476
1110,1548.0944902824476
1111,1548.0944902824476
1112,1548.0944902824476
1113,1548.0944902824476
1114,1548.0944902824476
1115,1548.0944902824476
1116,1548.0944902824476
1117,1548.0944902824476
1118,1548.0944902824476
1119,1548.0944902824476
1120,1548.0944902824476
1121,1548.0944902824476
1122,1548.0944902824476
1123,1548.0944902824476
1124,1548.0944902824476
1125,1548.0944902824476
1126,1548.0944902824476
1127,1548.0944902824476
1128,1548.0944902824476
1129,1548.0944902824476
1130,1548.0944902824476
1131,1548.0944902824476
1132,1548.0944902824476
1133,1548.0944902824476
1134,1548.0944902824476
1135,1548.0944902824476
1136,1548.0944902824476
1137,1548.0944902824476
1138,1548.0944902824476
1139,1548.0944902824476
1140,1548.0944902824476
1141,1548.0944902824476
1142,1548.0944902824476
1143,1548.0944902824476
1144,1548.0944902824476
1145,1548.0944902824476
1146,1548.0944902824476
1147,1548.0944902824476
1148,1548.0944902824476
1149,1548.0944902824476
1150,1548.0944902824476
1151,1548.0944902824476
1152,1548.0944902824476
1153,1548.0944902824476
1154,1548.0944902824476
1155,1548.0944902824476
1156,1548.0944902824476
1157,1548.0944902824476
1158,1548.0944902824476
1159,1548.0944902824476
1160,1548.0944902824476
1161,1548.0944902824476
1162,1548.0944902824476
1163,1548.0944902824476
1164,1548.0944902824476
1165,1548.0944902824476
1166,1548.0944902824476
1167,1548.0944902824476
1168,1548.0944902824476
1169,1548.0944902824476
1170,1548.0944902824476
1171,1548.0944902824476
1172,1548.0944902824476
1173,1548.0944902824476
1174,1548.0944902824476
1175,1548.0944902824476
1176,1548.0944902824476
1177,1548.0944902824476
1178,1548.0944902824476
1179,1548.0944902824476
1180,1548.0944902824476
1181,1548.0944902824476
1182,1548.0944902824476
1183,1548.0944902824476
1184,1548.0944902824476
1185,1548.0944902824476
1186,1548.0944902824476
1187,1548.0944902824476
1188,1548.0944902824476
1189,1548.0944902824476
1190,1548.0944902824476
1191,1548.0944902824476
1192,1548.0944902824476
1193,1548.0944902824476
1194,1548.0944902824476
1195,1548.0944902824476
1196,1548.0944902824476
1197,1548.0944902824476
1198,1548.0944902824476
1199,1548.0944902824476
1200,1548.0944902824476
1201,1548.0944902824476
1202,1548.0944902824476
1203,1548.0944902824476
1204,1548.0944902824476
1205,1548.0944902824476
1206,1548.0944902824476
1207,1548.0944902824476
1208,1548.0944902824476
1209,1548.0944902824476
1210,1548.0944902824476
1211,1548.0944902824476
1212,1548.0944902824476
1213,1548.0944902824476
1214,1548.0944902824476
1215,1548.0944902824476
1216,1548.0944902824476
1217,1548.0944902824476
1218,1548.0944902824476
1219,1548.0944902824476
1220,1548.0944902824476
1221,1548.0944902824476
1222,1548.0944902824476
1223,1548.0944902824476
1224,1548.0944902824476
1225,1548.0944902824476
1226,1548.0944902824476
1227,1548.0944902824476
1228,1548.0944902824476
1229,1548.0944902824476
1230,1548.0944902824476
1231,1548.0944902824476
1232,1548.0944902824476
1233,1548.0944902824476
1234,1548.0944902824476
1235,1548.0944902824476
1236,1548.0944902824476
1237,1548.0944902824476
1238,1548.0944902824476
1239,1548.0944902824476
1240,1548.0944902824476
1241,1548.0944902824476
1242,1548.0944902824476
1243,1548.0944902824476
