,fuel_cost_10000-12000_miles
1361,541.8692
1362,541.8692
1363,541.8692
1364,541.8692
1365,541.8692
1366,541.8692
1367,541.8692
1368,541.8692
1369,541.8692
1370,541.8692
1371,541.8692
1372,541.8692
1373,541.8692
1374,541.8692
1375,541.8692
1376,541.8692
1377,541.8692
1378,541.8692
1379,541.8692
1380,541.8692
1381,541.8692
1382,541.8692
1383,541.8692
1384,541.8692
1385,541.8692
1386,541.8692
1387,541.8692
1388,541.8692
1389,541.8692
1390,541.8692
1391,541.8692
1392,541.8692
1393,541.8692
1394,541.8692
1395,541.8692
1396,541.8692
1397,541.8692
1398,541.8692
1399,541.8692
1400,541.8692
1401,541.8692
1402,541.8692
1403,541.8692
1404,541.8692
1405,541.8692
1406,541.8692
1407,541.8692
1408,541.8692
1409,541.8692
1410,541.8692
1411,541.8692
1412,541.8692
1413,541.8692
1414,541.8692
1415,541.8692
1416,541.8692
1417,541.8692
1418,541.8692
1419,541.8692
1420,541.8692
1421,541.8692
1422,541.8692
1423,541.8692
1424,541.8692
1425,541.8692
1426,541.8692
1427,541.8692
1428,541.8692
1429,541.8692
1430,541.8692
1431,541.8692
1432,541.8692
1433,541.8692
1434,541.8692
1435,541.8692
1436,541.8692
1437,541.8692
1438,541.8692
1439,541.8692
1440,541.8692
1441,541.8692
1442,541.8692
1443,541.8692
1444,541.8692
1445,541.8692
1446,541.8692
1447,541.8692
1448,541.8692
1449,541.8692
1450,541.8692
1451,541.8692
1452,541.8692
1453,541.8692
1454,541.8692
1455,541.8692
1456,541.8692
1457,541.8692
1458,541.8692
1459,541.8692
1460,541.8692
1461,541.8692
1462,541.8692
1463,541.8692
1464,541.8692
1465,541.8692
1466,541.8692
1467,541.8692
1468,541.8692
1469,541.8692
1470,541.8692
1471,541.8692
1472,541.8692
1473,541.8692
1474,541.8692
1475,541.8692
1476,541.8692
1477,541.8692
1478,541.8692
1479,541.8692
1480,541.8692
1481,541.8692
1482,541.8692
1483,541.8692
1484,541.8692
1485,541.8692
1486,541.8692
1487,541.8692
1488,541.8692
1489,541.8692
1490,541.8692
1491,541.8692
1492,541.8692
1493,541.8692
1494,541.8692
1495,541.8692
1496,541.8692
1497,541.8692
1498,541.8692
1499,541.8692
1500,541.8692
1501,541.8692
1502,541.8692
1503,541.8692
1504,541.8692
1505,541.8692
1506,541.8692
1507,541.8692
1508,541.8692
1509,541.8692
1510,541.8692
1511,541.8692
1512,541.8692
1513,541.8692
1514,541.8692
1515,541.8692
1516,541.8692
1517,541.8692
1518,541.8692
1519,541.8692
1520,541.8692
1521,541.8692
1522,541.8692
1523,541.8692
1524,541.8692
1525,541.8692
1526,541.8692
1527,541.8692
1528,541.8692
1529,541.8692
1530,541.8692
1531,541.8692
1532,541.8692
1533,541.8692
1534,541.8692
1535,541.8692
1536,541.8692
1537,541.8692
1538,541.8692
1539,541.8692
1540,541.8692
1541,541.8692
1542,541.8692
1543,541.8692
1544,541.8692
1545,541.8692
1546,541.8692
1547,541.8692
1548,541.8692
1549,541.8692
1550,541.8692
1551,541.8692
1552,541.8692
1553,541.8692
1554,541.8692
1555,541.8692
1556,541.8692
1557,541.8692
1558,541.8692
1559,541.8692
1560,541.8692
1561,541.8692
1562,541.8692
1563,541.8692
1564,541.8692
1565,541.8692
1566,541.8692
1567,541.8692
1568,541.8692
1569,541.8692
1570,541.8692
1571,541.8692
1572,541.8692
1573,541.8692
1574,541.8692
1575,541.8692
1576,541.8692
1577,541.8692
1578,541.8692
1579,541.8692
1580,541.8692
1581,541.8692
1582,541.8692
1583,541.8692
1584,541.8692
1585,541.8692
1586,541.8692
1587,541.8692
1588,541.8692
1589,541.8692
1590,541.8692
1591,541.8692
1592,541.8692
1593,541.8692
1594,541.8692
1595,541.8692
1596,541.8692
1597,541.8692
1598,541.8692
1599,541.8692
1600,541.8692
1601,541.8692
1602,541.8692
1603,541.8692
1604,541.8692
1605,541.8692
1606,541.8692
1607,541.8692
1608,541.8692
1609,541.8692
1610,541.8692
1611,541.8692
1612,541.8692
1613,541.8692
1614,541.8692
1615,541.8692
1616,541.8692
1617,541.8692
1618,541.8692
1619,541.8692
1620,541.8692
1621,541.8692
1622,541.8692
1623,541.8692
1624,541.8692
1625,541.8692
1626,541.8692
1627,541.8692
1628,541.8692
1629,541.8692
1630,541.8692
1631,541.8692
1632,541.8692
1633,541.8692
1634,541.8692
1635,541.8692
1636,541.8692
1637,541.8692
1638,541.8692
1639,541.8692
1640,541.8692
1641,541.8692
1642,541.8692
1643,541.8692
1644,541.8692
1645,541.8692
1646,541.8692
1647,541.8692
1648,541.8692
1649,541.8692
1650,541.8692
1651,541.8692
1652,541.8692
1653,541.8692
1654,541.8692
1655,541.8692
1656,541.8692
1657,541.8692
1658,541.8692
1659,541.8692
1660,541.8692
1661,541.8692
1662,541.8692
1663,541.8692
1664,541.8692
1665,541.8692
1666,541.8692
1667,541.8692
1668,541.8692
1669,541.8692
1670,541.8692
1671,541.8692
1672,541.8692
1673,541.8692
1674,541.8692
1675,541.8692
1676,541.8692
1677,541.8692
1678,541.8692
1679,541.8692
1680,541.8692
1681,541.8692
1682,541.8692
1683,541.8692
1684,541.8692
1685,541.8692
1686,541.8692
1687,541.8692
1688,541.8692
1689,541.8692
1690,541.8692
1691,541.8692
1692,541.8692
1693,541.8692
1694,541.8692
1695,541.8692
1696,541.8692
1697,541.8692
1698,541.8692
1699,541.8692
1700,541.8692
1701,541.8692
1702,541.8692
1703,541.8692
1704,541.8692
1705,541.8692
1706,541.8692
1707,541.8692
1708,541.8692
1709,541.8692
1710,541.8692
1711,541.8692
1712,541.8692
1713,541.8692
1714,541.8692
1715,541.8692
1716,541.8692
1717,541.8692
1718,541.8692
1719,541.8692
1720,541.8692
1721,541.8692
1722,541.8692
1723,541.8692
1724,541.8692
1725,541.8692
1726,541.8692
1727,541.8692
1728,541.8692
1729,541.8692
1730,541.8692
1731,541.8692
1732,541.8692
1733,541.8692
1734,541.8692
1735,541.8692
1736,541.8692
1737,541.8692
1738,541.8692
1739,541.8692
1740,541.8692
1741,541.8692
1742,541.8692
1743,541.8692
1744,541.8692
1745,541.8692
1746,541.8692
1747,541.8692
1748,541.8692
1749,541.8692
1750,541.8692
1751,541.8692
1752,541.8692
1753,541.8692
1754,541.8692
1755,541.8692
1756,541.8692
1757,541.8692
1758,541.8692
1759,541.8692
1760,541.8692
1761,541.8692
1762,541.8692
1763,541.8692
1764,541.8692
1765,541.8692
1766,541.8692
1767,541.8692
1768,541.8692
1769,541.8692
1770,541.8692
1771,541.8692
1772,541.8692
1773,541.8692
1774,541.8692
1775,541.8692
1776,541.8692
1777,541.8692
1778,541.8692
1779,541.8692
1780,541.8692
1781,541.8692
1782,541.8692
1783,541.8692
1784,541.8692
1785,541.8692
1786,541.8692
1787,541.8692
1788,541.8692
1789,541.8692
1790,541.8692
1791,541.8692
1792,541.8692
1793,541.8692
1794,541.8692
1795,541.8692
1796,541.8692
1797,541.8692
1798,541.8692
1799,541.8692
1800,541.8692
1801,541.8692
1802,541.8692
1803,541.8692
1804,541.8692
1805,541.8692
1806,541.8692
1807,541.8692
1808,541.8692
1809,541.8692
1810,541.8692
1811,541.8692
1812,541.8692
1813,541.8692
1814,541.8692
1815,541.8692
1816,541.8692
1817,541.8692
1818,541.8692
1819,541.8692
1820,541.8692
1821,541.8692
1822,541.8692
1823,541.8692
1824,541.8692
1825,541.8692
1826,541.8692
1827,541.8692
1828,541.8692
1829,541.8692
1830,541.8692
1831,541.8692
1832,541.8692
1833,541.8692
1834,541.8692
1835,541.8692
1836,541.8692
1837,541.8692
1838,541.8692
1839,541.8692
1840,541.8692
1841,541.8692
1842,541.8692
1843,541.8692
1844,541.8692
1845,541.8692
1846,541.8692
1847,541.8692
1848,541.8692
1849,541.8692
1850,541.8692
1851,541.8692
1852,541.8692
1853,541.8692
1854,541.8692
1855,541.8692
1856,541.8692
1857,541.8692
1858,541.8692
1859,541.8692
1860,541.8692
